YEAR;BUS;TRAM;UNDERGROUND
2001;109700000;206700000;413100000
2002;108800000;204000000;409600000
2003;108600000;203800000;409700000
2004;110500000;204700000;420200000
2005;111700000;207700000;427400000
2006;117500000;204700000;450000000
2007;116000000;200400000;476600000
2008;115000000;190500000;498200000
2009;114700000;186900000;510200000
2010;114400000;189900000;534400000
2011;113600000;193800000;567600000
2012;167100000;295100000;444400000
2013;177600000;293600000;428800000
2014;186600000;304800000;439800000
2015;201100000;298000000;440000000
2016;208300000;305800000;440100000
2017;202300000;305800000;453600000
2018;197300000;305500000;463100000
2019;196100000;304800000;459800000
2020;122800000;186100000;265100000
2021;123300000;200600000;271900000
2022;152400000;246500000;348500000
2023;166200000;273400000;352500000
