YEAR;UNIT;BUS;BUS_AT_NIGHT;BUS_DURING_THE_DAY;TRAM;UNDERGROUND
2001;km;623,2;240,8;382,4;232,5;61,6
2002;km;625,6;240,8;384,8;232,5;61,6
2003;km;632,2;240,9;391,3;231,7;60,5
2004;km;637,7;240,9;396,8;231,7;60,5
2005;km;638,5;240,9;397,6;231,6;60,5
2006;km;668,6;277;391,6;227,3;65,1
2007;km;669,1;277;392,1;227,3;65,1
2008;km;650;258,8;391,2;214,9;68,9
2009;km;641,4;258,8;382,6;214,9;68,9
2010;km;621,5;237,3;384,2;214,8;74,2
2011;km;646,7;237,3;409,4;214,8;74,2
2012;km;717,3;237,4;479,9;221,5;74,2
2013;km;774;237,4;536,6;225;78,5
2014;km;826,5;237,43;589,07;222,7;78,5
2015;km;846,6;212,6;634;222,7;78,5
2016;km;832,5;198,7;633,8;222,8;78,5
2017;km;845,7;199,1;646,6;220,4;83
2018;km;848;198,8;649,2;220,5;83
2019;km;860,5;198,6;661,9;225,4;83
2020;km;879,9;211,9;668;227,1;83
2021;km;874,7;212,2;662,5;227,1;83
2022;km;882,9;212,2;670,7;227;83
2023;km;885,78;212,4;673,35;229,8;83
