DISTRICT_CODE;REF_YEAR;REF_DATE;POP_TOTAL;POP_MAL;POP_FEM
90100;2001;20010515;17056;7970;9086
90200;2001;20010515;90914;44267;46647
90300;2001;20010515;81281;38113;43168
90400;2001;20010515;28354;13018;15336
90500;2001;20010515;49111;23394;25717
90600;2001;20010515;27867;13121;14746
90700;2001;20010515;28292;13245;15047
90800;2001;20010515;22572;10689;11883
90900;2001;20010515;37816;17595;20221
91000;2001;20010515;150636;71858;78778
91100;2001;20010515;76899;37137;39762
91200;2001;20010515;78268;36657;41611
91300;2001;20010515;49574;21952;27622
91400;2001;20010515;78169;36181;41988
91500;2001;20010515;64895;31279;33616
91600;2001;20010515;86129;40942;45187
91700;2001;20010515;47610;22451;25159
91800;2001;20010515;44992;20385;24607
91900;2001;20010515;64030;28678;35352
92000;2001;20010515;76268;37074;39194
92100;2001;20010515;128228;60661;67567
92200;2001;20010515;136444;65159;71285
92300;2001;20010515;84718;39518;45200
90100;2002;20020101;17630;8316;9314
90200;2002;20020101;89016;43170;45846
90300;2002;20020101;82227;38743;43484
90400;2002;20020101;28975;13378;15597
90500;2002;20020101;49785;23821;25964
90600;2002;20020101;28525;13551;14974
90700;2002;20020101;28912;13698;15214
90800;2002;20020101;22219;10390;11829
90900;2002;20020101;38290;17913;20377
91000;2002;20020101;152796;73103;79693
91100;2002;20020101;78785;38151;40634
91200;2002;20020101;78971;37114;41857
91300;2002;20020101;50341;22388;27953
91400;2002;20020101;79142;36766;42376
91500;2002;20020101;67482;33026;34456
91600;2002;20020101;87914;42080;45834
91700;2002;20020101;48827;23166;25661
91800;2002;20020101;45505;20732;24773
91900;2002;20020101;65327;29329;35998
92000;2002;20020101;76837;37437;39400
92100;2002;20020101;129726;61444;68282
92200;2002;20020101;138100;65973;72127
92300;2002;20020101;85791;40048;45743
90100;2003;20030101;17541;8270;9271
90200;2003;20030101;89954;43717;46237
90300;2003;20030101;82297;38896;43401
90400;2003;20030101;29348;13622;15726
90500;2003;20030101;50367;24169;26198
90600;2003;20030101;28805;13763;15042
90700;2003;20030101;28968;13738;15230
90800;2003;20030101;23156;11102;12054
90900;2003;20030101;38304;17974;20330
91000;2003;20030101;156349;75247;81102
91100;2003;20030101;80485;38941;41544
91200;2003;20030101;80270;37863;42407
91300;2003;20030101;50797;22706;28091
91400;2003;20030101;80185;37550;42635
91500;2003;20030101;67976;33260;34716
91600;2003;20030101;89153;42785;46368
91700;2003;20030101;49428;23555;25873
91800;2003;20030101;45872;20961;24911
91900;2003;20030101;66017;29593;36424
92000;2003;20030101;78792;38595;40197
92100;2003;20030101;131892;62583;69309
92200;2003;20030101;140404;67124;73280
92300;2003;20030101;86486;40401;46085
90100;2004;20040101;17384;8241;9143
90200;2004;20040101;90837;44158;46679
90300;2004;20040101;83019;39327;43692
90400;2004;20040101;29394;13630;15764
90500;2004;20040101;51098;24664;26434
90600;2004;20040101;28891;13783;15108
90700;2004;20040101;29012;13771;15241
90800;2004;20040101;23309;11204;12105
90900;2004;20040101;38865;18364;20501
91000;2004;20040101;159105;76489;82616
91100;2004;20040101;81369;39484;41885
91200;2004;20040101;82178;38962;43216
91300;2004;20040101;50896;22736;28160
91400;2004;20040101;80505;37650;42855
91500;2004;20040101;68760;33730;35030
91600;2004;20040101;89822;43167;46655
91700;2004;20040101;50278;23976;26302
91800;2004;20040101;46309;21286;25023
91900;2004;20040101;66437;29828;36609
92000;2004;20040101;79441;38816;40625
92100;2004;20040101;133801;63746;70055
92200;2004;20040101;142620;68197;74423
92300;2004;20040101;87080;40706;46374
90100;2005;20050101;17294;8197;9097
90200;2005;20050101;91364;44498;46866
90300;2005;20050101;83827;39843;43984
90400;2005;20050101;29573;13782;15791
90500;2005;20050101;51882;25144;26738
90600;2005;20050101;29012;13879;15133
90700;2005;20050101;29161;13894;15267
90800;2005;20050101;23588;11347;12241
90900;2005;20050101;39472;18778;20694
91000;2005;20050101;163695;78896;84799
91100;2005;20050101;82429;40024;42405
91200;2005;20050101;83372;39675;43697
91300;2005;20050101;51316;22943;28373
91400;2005;20050101;81785;38299;43486
91500;2005;20050101;69467;34114;35353
91600;2005;20050101;91997;44514;47483
91700;2005;20050101;51316;24711;26605
91800;2005;20050101;46921;21618;25303
91900;2005;20050101;66900;30079;36821
92000;2005;20050101;80758;39554;41204
92100;2005;20050101;134904;64256;70648
92200;2005;20050101;144820;69300;75520
92300;2005;20050101;87716;40981;46735
90100;2006;20060101;17285;8250;9035
90200;2006;20060101;92170;44965;47205
90300;2006;20060101;84208;40129;44079
90400;2006;20060101;30126;14097;16029
90500;2006;20060101;52534;25523;27011
90600;2006;20060101;29369;14084;15285
90700;2006;20060101;30416;14798;15618
90800;2006;20060101;23597;11347;12250
90900;2006;20060101;39264;18656;20608
91000;2006;20060101;167238;80801;86437
91100;2006;20060101;82722;40126;42596
91200;2006;20060101;84240;40203;44037
91300;2006;20060101;51356;23027;28329
91400;2006;20060101;82829;38767;44062
91500;2006;20060101;70235;34527;35708
91600;2006;20060101;93817;45403;48414
91700;2006;20060101;52480;25329;27151
91800;2006;20060101;47291;21867;25424
91900;2006;20060101;67389;30411;36978
92000;2006;20060101;81288;39818;41470
92100;2006;20060101;136625;65110;71515
92200;2006;20060101;146892;70336;76556
92300;2006;20060101;89078;41554;47524
90100;2007;20070101;17147;8200;8947
90200;2007;20070101;93313;45813;47500
90300;2007;20070101;83919;39827;44092
90400;2007;20070101;30189;14088;16101
90500;2007;20070101;52286;25440;26846
90600;2007;20070101;29463;14135;15328
90700;2007;20070101;29955;14232;15723
90800;2007;20070101;23613;11390;12223
90900;2007;20070101;39160;18589;20571
91000;2007;20070101;169413;81852;87561
91100;2007;20070101;82903;40286;42617
91200;2007;20070101;85011;40668;44343
91300;2007;20070101;51304;22949;28355
91400;2007;20070101;83246;39064;44182
91500;2007;20070101;70228;34551;35677
91600;2007;20070101;93877;45340;48537
91700;2007;20070101;52626;25416;27210
91800;2007;20070101;47333;21905;25428
91900;2007;20070101;67832;30675;37157
92000;2007;20070101;81719;39960;41759
92100;2007;20070101;137335;65585;71750
92200;2007;20070101;149083;71284;77799
92300;2007;20070101;90291;42150;48141
90100;2008;20080101;16976;8133;8843
90200;2008;20080101;93463;45974;47489
90300;2008;20080101;83050;39291;43759
90400;2008;20080101;30262;14154;16108
90500;2008;20080101;52434;25409;27025
90600;2008;20080101;29430;14118;15312
90700;2008;20080101;30054;14176;15878
90800;2008;20080101;23703;11409;12294
90900;2008;20080101;39466;18674;20792
91000;2008;20080101;171113;82621;88492
91100;2008;20080101;85834;41785;44049
91200;2008;20080101;85736;41045;44691
91300;2008;20080101;51127;22911;28216
91400;2008;20080101;83751;39417;44334
91500;2008;20080101;70291;34659;35632
91600;2008;20080101;94193;45554;48639
91700;2008;20080101;52414;25281;27133
91800;2008;20080101;47478;21982;25496
91900;2008;20080101;67961;30763;37198
92000;2008;20080101;81648;39861;41787
92100;2008;20080101;138678;66249;72429
92200;2008;20080101;150967;72197;78770
92300;2008;20080101;91192;42640;48552
90100;2009;20090101;16623;8000;8623
90200;2009;20090101;93822;46206;47616
90300;2009;20090101;82979;39171;43808
90400;2009;20090101;30348;14259;16089
90500;2009;20090101;52288;25376;26912
90600;2009;20090101;29197;13997;15200
90700;2009;20090101;29878;14067;15811
90800;2009;20090101;23639;11368;12271
90900;2009;20090101;39167;18522;20645
91000;2009;20090101;173227;83691;89536
91100;2009;20090101;87966;42890;45076
91200;2009;20090101;86950;41636;45314
91300;2009;20090101;50981;22955;28026
91400;2009;20090101;83980;39571;44409
91500;2009;20090101;70600;34739;35861
91600;2009;20090101;94526;45774;48752
91700;2009;20090101;52253;25258;26995
91800;2009;20090101;47619;22093;25526
91900;2009;20090101;67837;30814;37023
92000;2009;20090101;81986;40051;41935
92100;2009;20090101;139498;66687;72811
92200;2009;20090101;153148;73333;79815
92300;2009;20090101;91623;42879;48744
90100;2010;20100101;16525;7926;8599
90200;2010;20100101;94735;46633;48102
90300;2010;20100101;83061;39292;43769
90400;2010;20100101;30331;14246;16085
90500;2010;20100101;52354;25394;26960
90600;2010;20100101;29323;14132;15191
90700;2010;20100101;30069;14234;15835
90800;2010;20100101;23435;11351;12084
90900;2010;20100101;39344;18663;20681
91000;2010;20100101;174749;84463;90286
91100;2010;20100101;89461;43592;45869
91200;2010;20100101;87462;41895;45567
91300;2010;20100101;51015;23051;27964
91400;2010;20100101;84090;39734;44356
91500;2010;20100101;70830;34871;35959
91600;2010;20100101;94816;45980;48836
91700;2010;20100101;52328;25238;27090
91800;2010;20100101;47693;22056;25637
91900;2010;20100101;67865;30953;36912
92000;2010;20100101;82083;40092;41991
92100;2010;20100101;140647;67201;73446
92200;2010;20100101;155527;74455;81072
92300;2010;20100101;92252;43229;49023
90100;2011;20110101;16385;7835;8550
90200;2011;20110101;95302;46797;48505
90300;2011;20110101;83955;39765;44190
90400;2011;20110101;30541;14335;16206
90500;2011;20110101;52753;25774;26979
90600;2011;20110101;29308;14075;15233
90700;2011;20110101;30062;14175;15887
90800;2011;20110101;23379;11302;12077
90900;2011;20110101;39315;18642;20673
91000;2011;20110101;176558;85504;91054
91100;2011;20110101;90394;44071;46323
91200;2011;20110101;88023;42163;45860
91300;2011;20110101;50966;23074;27892
91400;2011;20110101;84566;40007;44559
91500;2011;20110101;71491;35303;36188
91600;2011;20110101;94951;46068;48883
91700;2011;20110101;52293;25255;27038
91800;2011;20110101;47575;21966;25609
91900;2011;20110101;68079;31121;36958
92000;2011;20110101;82969;40624;42345
92100;2011;20110101;142199;67981;74218
92200;2011;20110101;158417;75889;82528
92300;2011;20110101;93374;43760;49614
90100;2012;20120101;16290;7799;8491
90200;2012;20120101;96582;47534;49048
90300;2012;20120101;84574;40162;44412
90400;2012;20120101;30724;14464;16260
90500;2012;20120101;52581;25684;26897
90600;2012;20120101;29388;14091;15297
90700;2012;20120101;30101;14226;15875
90800;2012;20120101;23560;11387;12173
90900;2012;20120101;39431;18720;20711
91000;2012;20120101;178358;86499;91859
91100;2012;20120101;91223;44451;46772
91200;2012;20120101;88515;42363;46152
91300;2012;20120101;50650;22978;27672
91400;2012;20120101;84973;40304;44669
91500;2012;20120101;71651;35429;36222
91600;2012;20120101;95704;46623;49081
91700;2012;20120101;52647;25414;27233
91800;2012;20120101;47632;21930;25702
91900;2012;20120101;68460;31405;37055
92000;2012;20120101;83351;40802;42549
92100;2012;20120101;144263;69099;75164
92200;2012;20120101;161957;77612;84345
92300;2012;20120101;94469;44357;50112
90100;2013;20130101;16268;7784;8484
90200;2013;20130101;96866;47189;49677
90300;2013;20130101;85508;40482;45026
90400;2013;20130101;30989;14584;16405
90500;2013;20130101;53071;25989;27082
90600;2013;20130101;30117;14534;15583
90700;2013;20130101;30309;14393;15916
90800;2013;20130101;23930;11631;12299
90900;2013;20130101;39968;19018;20950
91000;2013;20130101;182595;89401;93194
91100;2013;20130101;92274;44930;47344
91200;2013;20130101;89616;42972;46644
91300;2013;20130101;50831;23173;27658
91400;2013;20130101;86248;41039;45209
91500;2013;20130101;73527;36356;37171
91600;2013;20130101;97565;47645;49920
91700;2013;20130101;53489;25924;27565
91800;2013;20130101;48162;22164;25998
91900;2013;20130101;68892;31669;37223
92000;2013;20130101;83977;41107;42870
92100;2013;20130101;146516;70250;76266
92200;2013;20130101;165265;79115;86150
92300;2013;20130101;95263;44767;50496
90100;2014;20140101;16131;7726;8405
90200;2014;20140101;99597;48650;50947
90300;2014;20140101;86454;41085;45369
90400;2014;20140101;31452;14903;16549
90500;2014;20140101;53610;26299;27311
90600;2014;20140101;30613;14833;15780
90700;2014;20140101;30792;14703;16089
90800;2014;20140101;24279;11855;12424
90900;2014;20140101;40528;19286;21242
91000;2014;20140101;186450;91638;94812
91100;2014;20140101;93440;45541;47899
91200;2014;20140101;90874;43752;47122
91300;2014;20140101;51275;23505;27770
91400;2014;20140101;87597;41727;45870
91500;2014;20140101;74791;37220;37571
91600;2014;20140101;99094;48451;50643
91700;2014;20140101;54422;26528;27894
91800;2014;20140101;48365;22208;26157
91900;2014;20140101;69242;31849;37393
92000;2014;20140101;84305;41200;43105
92100;2014;20140101;148947;71633;77314
92200;2014;20140101;168394;80684;87710
92300;2014;20140101;96094;45320;50774
90100;2015;20150101;16339;7789;8550
90200;2015;20150101;101702;49928;51774
90300;2015;20150101;88125;42001;46124
90400;2015;20150101;31691;15076;16615
90500;2015;20150101;54246;26653;27593
90600;2015;20150101;31000;15061;15939
90700;2015;20150101;31291;14987;16304
90800;2015;20150101;24518;12066;12452
90900;2015;20150101;40882;19492;21390
91000;2015;20150101;189713;93274;96439
91100;2015;20150101;95198;46570;48628
91200;2015;20150101;92229;44580;47649
91300;2015;20150101;52115;23969;28146
91400;2015;20150101;89303;42745;46558
91500;2015;20150101;76320;38060;38260
91600;2015;20150101;100738;49544;51194
91700;2015;20150101;55628;27187;28441
91800;2015;20150101;49178;22697;26481
91900;2015;20150101;69999;32386;37613
92000;2015;20150101;85525;42012;43513
92100;2015;20150101;151844;73009;78835
92200;2015;20150101;172978;82782;90196
92300;2015;20150101;96775;45765;51010
90100;2016;20160101;16411;7861;8550
90200;2016;20160101;103225;50767;52458
90300;2016;20160101;89806;43309;46497
90400;2016;20160101;32751;15823;16928
90500;2016;20160101;54938;27133;27805
90600;2016;20160101;31620;15417;16203
90700;2016;20160101;32020;15504;16516
90800;2016;20160101;25054;12420;12634
90900;2016;20160101;43095;20913;22182
91000;2016;20160101;194746;96322;98424
91100;2016;20160101;97342;47657;49685
91200;2016;20160101;94170;45858;48312
91300;2016;20160101;53813;25169;28644
91400;2016;20160101;91596;44180;47416
91500;2016;20160101;78349;39377;38972
91600;2016;20160101;102605;50592;52013
91700;2016;20160101;56329;27638;28691
91800;2016;20160101;50283;23313;26970
91900;2016;20160101;71609;33215;38394
92000;2016;20160101;85815;42246;43569
92100;2016;20160101;155986;75318;80668
92200;2016;20160101;180272;86386;93886
92300;2016;20160101;98391;46667;51724
90100;2017;20170101;16465;7903;8562
90200;2017;20170101;105003;51921;53082
90300;2017;20170101;90183;43493;46690
90400;2017;20170101;33035;16041;16994
90500;2017;20170101;55356;27428;27928
90600;2017;20170101;31865;15518;16347
90700;2017;20170101;32197;15624;16573
90800;2017;20170101;25528;12745;12783
90900;2017;20170101;42709;20546;22163
91000;2017;20170101;198083;98444;99639
91100;2017;20170101;100137;49027;51110
91200;2017;20170101;95955;46988;48967
91300;2017;20170101;54171;25476;28695
91400;2017;20170101;92337;44735;47602
91500;2017;20170101;78999;39934;39065
91600;2017;20170101;104323;51588;52735
91700;2017;20170101;57180;28153;29027
91800;2017;20170101;51128;23820;27308
91900;2017;20170101;72107;33619;38488
92000;2017;20170101;86868;42952;43916
92100;2017;20170101;158712;76802;81910
92200;2017;20170101;184188;88259;95929
92300;2017;20170101;101053;48108;52945
90100;2018;20180101;16450;7887;8563
90200;2018;20180101;105574;52031;53543
90300;2018;20180101;90712;43865;46847
90400;2018;20180101;33319;16197;17122
90500;2018;20180101;55640;27613;28027
90600;2018;20180101;32069;15725;16344
90700;2018;20180101;32467;15817;16650
90800;2018;20180101;25662;12799;12863
90900;2018;20180101;42547;20484;22063
91000;2018;20180101;201882;100739;101143
91100;2018;20180101;101420;49831;51589
91200;2018;20180101;97624;47849;49775
91300;2018;20180101;54265;25545;28720
91400;2018;20180101;92752;45021;47731
91500;2018;20180101;79029;39942;39087
91600;2018;20180101;104627;51886;52741
91700;2018;20180101;57546;28361;29185
91800;2018;20180101;51647;24097;27550
91900;2018;20180101;72650;33888;38762
92000;2018;20180101;87239;43127;44112
92100;2018;20180101;162779;78804;83975
92200;2018;20180101;187007;89789;97218
92300;2018;20180101;103869;49468;54401
90100;2019;20190101;16306;7849;8457
90200;2019;20190101;104946;51702;53244
90300;2019;20190101;91745;44500;47245
90400;2019;20190101;33263;16109;17154
90500;2019;20190101;55407;27473;27934
90600;2019;20190101;31864;15579;16285
90700;2019;20190101;32288;15558;16730
90800;2019;20190101;25466;12682;12784
90900;2019;20190101;41958;20153;21805
91000;2019;20190101;204142;101964;102178
91100;2019;20190101;103008;50663;52345
91200;2019;20190101;97634;47955;49679
91300;2019;20190101;53778;25176;28602
91400;2019;20190101;92990;45262;47728
91500;2019;20190101;77621;39163;38458
91600;2019;20190101;103785;51580;52205
